,Start Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
23,2/1/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2690.0,2690.0,some
24,2/1/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,6021.0,6021.0,some
25,2/1/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,9114.0,9114.0,some
26,2/1/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,8365.0,8365.0,some
27,2/1/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,6093.0,6093.0,some
28,2/1/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2.0,2.0,some
29,2/1/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,33674.0,33674.0,some
30,2/1/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,158.0,162.0,some
31,2/1/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,640.0,649.0,some
32,2/1/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,1690.0,1713.0,some
33,2/1/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,5079.0,5159.0,some
34,2/1/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,12784.0,13033.0,some
35,2/1/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,23431.0,24012.0,some
36,2/1/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,28727.0,29476.0,some
37,2/1/2020,US,Respiratory diseases,Respiratory failure,J96,85+,27549.0,28091.0,some
38,2/1/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,2.0,2.0,some
39,2/1/2020,US,Respiratory diseases,Respiratory failure,J96,All Ages,100060.0,102297.0,some
40,2/1/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,13.0,13.0,some
41,2/1/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,41.0,41.0,some
42,2/1/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,94.0,94.0,some
43,2/1/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,255.0,255.0,some
44,2/1/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,638.0,638.0,some
45,2/1/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,1178.0,1178.0,some
46,2/1/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,1596.0,1596.0,some
47,2/1/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,2091.0,2091.0,some
48,2/1/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0.0,0.0,some
49,2/1/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All Ages,5906.0,5906.0,some
50,2/1/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,27.0,29.0,some
51,2/1/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,88.0,94.0,some
52,2/1/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,224.0,233.0,some
53,2/1/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,549.0,577.0,some
54,2/1/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,1360.0,1438.0,some
55,2/1/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,2407.0,2528.0,some
56,2/1/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,2944.0,3054.0,some
57,2/1/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,3020.0,3073.0,some
58,2/1/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0.0,0.0,some
59,2/1/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,10619.0,11026.0,some
60,2/1/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,25.0,25.0,some
61,2/1/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,167.0,169.0,some
62,2/1/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,720.0,726.0,some
63,2/1/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,2382.0,2401.0,some
64,2/1/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,6834.0,6875.0,some
65,2/1/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,12856.0,12918.0,some
66,2/1/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,16414.0,16528.0,some
67,2/1/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,19557.0,19750.0,some
68,2/1/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0.0,0.0,some
69,2/1/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,58955.0,59392.0,some
70,2/1/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,5.0,6.0,some
71,2/1/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,40.0,42.0,some
72,2/1/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,156.0,163.0,some
73,2/1/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,709.0,749.0,some
74,2/1/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,2713.0,2895.0,some
75,2/1/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,6407.0,6801.0,some
76,2/1/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,9712.0,10227.0,some
77,2/1/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,11474.0,12018.0,some
78,2/1/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,1.0,1.0,some
79,2/1/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,31217.0,32902.0,some
80,2/1/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,78.0,78.0,some
81,2/1/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,302.0,302.0,some
82,2/1/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,730.0,730.0,some
83,2/1/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,2086.0,2086.0,some
84,2/1/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,4688.0,4690.0,some
85,2/1/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,7582.0,7582.0,some
86,2/1/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,8258.0,8259.0,some
87,2/1/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,8670.0,8671.0,some
88,2/1/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,0.0,0.0,some
89,2/1/2020,US,Circulatory diseases,Cardiac arrest,I46,All Ages,32394.0,32398.0,some
90,2/1/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,15.0,15.0,some
91,2/1/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,40.0,40.0,some
92,2/1/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,117.0,119.0,some
93,2/1/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,397.0,412.0,some
94,2/1/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,1337.0,1369.0,some
95,2/1/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,3416.0,3504.0,some
96,2/1/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,5895.0,6021.0,some
97,2/1/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,8037.0,8179.0,some
98,2/1/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0.0,0.0,some
99,2/1/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,19254.0,19659.0,some
100,2/1/2020,US,Circulatory diseases,Heart failure,I50,0-24,9.0,9.0,some
101,2/1/2020,US,Circulatory diseases,Heart failure,I50,25-34,55.0,55.0,some
102,2/1/2020,US,Circulatory diseases,Heart failure,I50,35-44,134.0,134.0,some
103,2/1/2020,US,Circulatory diseases,Heart failure,I50,45-54,476.0,476.0,some
104,2/1/2020,US,Circulatory diseases,Heart failure,I50,55-64,1563.0,1564.0,some
105,2/1/2020,US,Circulatory diseases,Heart failure,I50,65-74,3509.0,3512.0,some
106,2/1/2020,US,Circulatory diseases,Heart failure,I50,75-84,5841.0,5843.0,some
107,2/1/2020,US,Circulatory diseases,Heart failure,I50,85+,9036.0,9038.0,some
108,2/1/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0.0,0.0,some
109,2/1/2020,US,Circulatory diseases,Heart failure,I50,All Ages,20623.0,20631.0,some
110,2/1/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,12.0,12.0,some
111,2/1/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,41.0,44.0,some
112,2/1/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,136.0,148.0,some
113,2/1/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,475.0,498.0,some
114,2/1/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,1548.0,1602.0,some
115,2/1/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,3089.0,3176.0,some
116,2/1/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,4110.0,4187.0,some
117,2/1/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,4678.0,4786.0,some
118,2/1/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1.0,1.0,some
119,2/1/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,14090.0,14454.0,some
120,2/1/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,59.0,71.0,some
121,2/1/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,152.0,174.0,some
122,2/1/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,341.0,391.0,some
123,2/1/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,850.0,936.0,some
124,2/1/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,1995.0,2156.0,some
125,2/1/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,3462.0,3776.0,some
126,2/1/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,4234.0,4589.0,some
127,2/1/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,4906.0,5293.0,some
128,2/1/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0.0,0.0,some
129,2/1/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,15999.0,17386.0,some
130,2/1/2020,US,Sepsis,Sepsis,A40-A41,0-24,55.0,56.0,some
131,2/1/2020,US,Sepsis,Sepsis,A40-A41,25-34,231.0,231.0,some
132,2/1/2020,US,Sepsis,Sepsis,A40-A41,35-44,604.0,604.0,some
133,2/1/2020,US,Sepsis,Sepsis,A40-A41,45-54,1835.0,1835.0,some
134,2/1/2020,US,Sepsis,Sepsis,A40-A41,55-64,4403.0,4406.0,some
135,2/1/2020,US,Sepsis,Sepsis,A40-A41,65-74,7401.0,7404.0,some
136,2/1/2020,US,Sepsis,Sepsis,A40-A41,75-84,6919.0,6922.0,some
137,2/1/2020,US,Sepsis,Sepsis,A40-A41,85+,4895.0,4896.0,some
138,2/1/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0.0,0.0,some
139,2/1/2020,US,Sepsis,Sepsis,A40-A41,All Ages,26343.0,26354.0,some
140,2/1/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,35.0,40.0,some
141,2/1/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,52.0,60.0,some
142,2/1/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,150.0,160.0,some
143,2/1/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,413.0,478.0,some
144,2/1/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1578.0,1809.0,some
145,2/1/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,3256.0,3655.0,some
146,2/1/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,3747.0,4217.0,some
147,2/1/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,3162.0,3484.0,some
148,2/1/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0.0,0.0,some
149,2/1/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,12393.0,13903.0,some
150,2/1/2020,US,Diabetes,Diabetes,E10-E14,0-24,66.0,66.0,some
151,2/1/2020,US,Diabetes,Diabetes,E10-E14,25-34,271.0,272.0,some
152,2/1/2020,US,Diabetes,Diabetes,E10-E14,35-44,963.0,970.0,some
153,2/1/2020,US,Diabetes,Diabetes,E10-E14,45-54,2907.0,2925.0,some
154,2/1/2020,US,Diabetes,Diabetes,E10-E14,55-64,7254.0,7296.0,some
155,2/1/2020,US,Diabetes,Diabetes,E10-E14,65-74,12321.0,12383.0,some
156,2/1/2020,US,Diabetes,Diabetes,E10-E14,75-84,12658.0,12708.0,some
157,2/1/2020,US,Diabetes,Diabetes,E10-E14,85+,9384.0,9413.0,some
158,2/1/2020,US,Diabetes,Diabetes,E10-E14,Not stated,0.0,0.0,some
159,2/1/2020,US,Diabetes,Diabetes,E10-E14,All Ages,45824.0,46033.0,some
160,2/1/2020,US,Obesity,Obesity,E65-E68,0-24,129.0,129.0,some
161,2/1/2020,US,Obesity,Obesity,E65-E68,25-34,453.0,454.0,some
162,2/1/2020,US,Obesity,Obesity,E65-E68,35-44,1037.0,1042.0,some
163,2/1/2020,US,Obesity,Obesity,E65-E68,45-54,1814.0,1816.0,some
164,2/1/2020,US,Obesity,Obesity,E65-E68,55-64,2683.0,2689.0,some
165,2/1/2020,US,Obesity,Obesity,E65-E68,65-74,2777.0,2786.0,some
166,2/1/2020,US,Obesity,Obesity,E65-E68,75-84,1509.0,1511.0,some
167,2/1/2020,US,Obesity,Obesity,E65-E68,85+,401.0,401.0,some
168,2/1/2020,US,Obesity,Obesity,E65-E68,Not stated,0.0,0.0,some
169,2/1/2020,US,Obesity,Obesity,E65-E68,All Ages,10803.0,10828.0,some
170,2/1/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0.0,0.0,some
171,2/1/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0.0,0.0,some
172,2/1/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,1.0,1.0,some
173,2/1/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,6.0,6.0,some
174,2/1/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,87.0,87.0,some
175,2/1/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,736.0,737.0,some
176,2/1/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,3222.0,3224.0,some
177,2/1/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,7116.0,7131.0,some
178,2/1/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0.0,0.0,some
179,2/1/2020,US,Alzheimer disease,Alzheimer disease,G30,All Ages,11168.0,11186.0,some
180,2/1/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0.0,0.0,some
181,2/1/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,1.0,1.0,some
182,2/1/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,3.0,3.0,some
183,2/1/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,33.0,33.0,some
184,2/1/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,450.0,450.0,some
185,2/1/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,2842.0,2847.0,some
186,2/1/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,9440.0,9453.0,some
187,2/1/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,19020.0,19038.0,some
188,2/1/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0.0,0.0,some
189,2/1/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,31789.0,31825.0,some
190,2/1/2020,US,Renal failure,Renal failure,N17-N19,0-24,30.0,31.0,some
191,2/1/2020,US,Renal failure,Renal failure,N17-N19,25-34,179.0,189.0,some
192,2/1/2020,US,Renal failure,Renal failure,N17-N19,35-44,488.0,498.0,some
193,2/1/2020,US,Renal failure,Renal failure,N17-N19,45-54,1465.0,1503.0,some
194,2/1/2020,US,Renal failure,Renal failure,N17-N19,55-64,3628.0,3745.0,some
195,2/1/2020,US,Renal failure,Renal failure,N17-N19,65-74,6356.0,6602.0,some
196,2/1/2020,US,Renal failure,Renal failure,N17-N19,75-84,6781.0,7098.0,some
197,2/1/2020,US,Renal failure,Renal failure,N17-N19,85+,6022.0,6309.0,some
198,2/1/2020,US,Renal failure,Renal failure,N17-N19,Not stated,1.0,2.0,some
199,2/1/2020,US,Renal failure,Renal failure,N17-N19,All Ages,24950.0,25977.0,some
200,2/1/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,39.0,107.0,some
201,2/1/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,108.0,278.0,some
202,2/1/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,146.0,356.0,some
203,2/1/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,267.0,584.0,some
204,2/1/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,606.0,1215.0,some
205,2/1/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1011.0,1978.0,some
206,2/1/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1291.0,2551.0,some
207,2/1/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,1646.0,3410.0,some
208,2/1/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0.0,0.0,some
209,2/1/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,5114.0,10479.0,some
210,2/1/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,267.0,457.0,some
211,2/1/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,798.0,1270.0,some
212,2/1/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,1805.0,2833.0,some
213,2/1/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,4933.0,7627.0,some
214,2/1/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,12508.0,19372.0,some
215,2/1/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,22976.0,35239.0,some
216,2/1/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,27678.0,41569.0,some
217,2/1/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,29596.0,44025.0,some
218,2/1/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,4.0,8.0,some
219,2/1/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,100565.0,152400.0,some
220,2/1/2020,US,COVID-19,COVID-19,U071,0-24,563.0,563.0,some
221,2/1/2020,US,COVID-19,COVID-19,U071,25-34,2012.0,2012.0,some
222,2/1/2020,US,COVID-19,COVID-19,U071,35-44,5205.0,5205.0,some
223,2/1/2020,US,COVID-19,COVID-19,U071,45-54,13879.0,13879.0,some
224,2/1/2020,US,COVID-19,COVID-19,U071,55-64,34303.0,34303.0,some
225,2/1/2020,US,COVID-19,COVID-19,U071,65-74,60954.0,60954.0,some
226,2/1/2020,US,COVID-19,COVID-19,U071,75-84,77746.0,77746.0,some
227,2/1/2020,US,COVID-19,COVID-19,U071,85+,90410.0,90410.0,some
